seller id,seller name,seller city,country,website,email
1,Vista Goods Hyderabad,Hyderabad,India,https://www.vistagoods-hyderabad.com,contact@vistagoods-hyderabad.com
2,MangoCircle Bengaluru,Bengaluru,India,https://www.mangocircle-bengaluru.com,contact@mangocircle-bengaluru.com
3,MangoCircle New,New Delhi,India,https://www.mangocircle-newdelhi.com,contact@mangocircle-newdelhi.com
4,BlueBasket Pune,Pune,India,https://www.bluebasket-pune.com,contact@bluebasket-pune.com
5,Maple Commerce Mumbai,Mumbai,India,https://www.maplecommerce-mumbai.com,contact@maplecommerce-mumbai.com
6,LotusMart Bengaluru,Bengaluru,India,https://www.lotusmart-bengaluru.com,contact@lotusmart-bengaluru.com
7,Nimbus Store Bengaluru,Bengaluru,India,https://www.nimbusstore-bengaluru.com,contact@nimbusstore-bengaluru.com
8,FreshPulse Hyderabad,Hyderabad,India,https://www.freshpulse-hyderabad.com,contact@freshpulse-hyderabad.com
9,QuickMart New,New Delhi,India,https://www.quickmart-newdelhi.com,contact@quickmart-newdelhi.com
10,MangoCircle Chennai,Chennai,India,https://www.mangocircle-chennai.com,contact@mangocircle-chennai.com
11,Orbit Retail Mumbai,Mumbai,India,https://www.orbitretail-mumbai.com,contact@orbitretail-mumbai.com
12,Vista Goods Hyderabad,Hyderabad,India,https://www.vistagoods-hyderabad.com,contact@vistagoods-hyderabad.com
13,Nova Retail New,New Delhi,India,https://www.novaretail-newdelhi.com,contact@novaretail-newdelhi.com
14,Urban Cart Mumbai,Mumbai,India,https://www.urbancart-mumbai.com,contact@urbancart-mumbai.com
15,Aster Market New,New Delhi,India,https://www.astermarket-newdelhi.com,contact@astermarket-newdelhi.com
16,Skyline Shop New,New Delhi,India,https://www.skylineshop-newdelhi.com,contact@skylineshop-newdelhi.com
17,PrimeNest New,New Delhi,India,https://www.primenest-newdelhi.com,contact@primenest-newdelhi.com
18,Vista Goods Chennai,Chennai,India,https://www.vistagoods-chennai.com,contact@vistagoods-chennai.com
